Date	Item	Liters	pH	TDS	Hardness	Turbidity
15-10-2022	Oranges	8.37	6.94	90	158	3.16
15-10-2022	Oranges	4.32	7.73	260	109	4.34
15-10-2022	Apples	6.82	7.89	464	165	1.86
15-10-2022	Cheese	7.73	7.94	297	95	4.58
15-10-2022	Bread	6.45	8.43	388	180	0.25
15-10-2022	Oranges	5.93	8.39	472	190	0.39
16-10-2022	Chicken	3.85	7.41	135	208	4.63
17-10-2022	Coffee	9.21	8.26	398	104	2.02
19-10-2022	Milk	8.33	7.1	198	166	3.67
19-10-2022	Pork	5.9	8.4	423	218	3.94
19-10-2022	Sugar	3.13	8.07	442	269	2.8
20-10-2022	Apples	3.21	6.6	314	199	0.7
20-10-2022	Yogurt	1.14	6.56	90	95	1.48
20-10-2022	Pork	2.85	8.29	262	259	0.67
21-10-2022	Coffee	1.88	8.36	282	95	2
21-10-2022	Coffee	2.29	6.64	480	255	2.43
21-10-2022	Beef	5.06	7.38	118	54	3.93
21-10-2022	Tomatoes	1.09	7.95	333	124	4.65
21-10-2022	Bread	2.24	7.88	417	165	1.28
24-10-2022	Potatoes	9.51	7.2	132	268	2.55
24-10-2022	Cheese	1.1	8.29	263	277	2.42
24-10-2022	Bananas	7.15	7.92	202	150	3.1
24-10-2022	Oranges	3.21	7.07	488	195	1.38
24-10-2022	Fish	5.28	8.26	235	254	3.79
26-10-2022	Milk	8.97	8.2	373	57	4.08
26-10-2022	Fish	4	7.74	387	272	2.43
27-10-2022	Butter	5.46	8	307	279	0.19
27-10-2022	Fish	7.61	6.75	364	293	3.97
28-10-2022	Milk	3.81	8.38	293	218	4.3
28-10-2022	Bread	7.82	6.91	107	60	2
28-10-2022	Wheat	9.37	8.24	295	67	1.83
28-10-2022	Butter	5.7	7.58	436	166	0.32
29-10-2022	Fish	5.51	7.04	407	188	2.57
29-10-2022	Wheat	9.54	8.48	181	54	3.42
29-10-2022	Coffee	2.6	7.42	134	278	0.95
29-10-2022	Rice	8.75	6.72	225	230	0.4
30-10-2022	Beef	4.48	6.85	315	297	0.84
30-10-2022	Tea	7.71	7.37	313	59	3.36
30-10-2022	Cheese	0.96	7.61	469	212	0.93
31-10-2022	Yogurt	6.59	7.67	163	250	4.68
31-10-2022	Oranges	2.59	6.59	56	294	0.75
02-11-2022	Chicken	8.55	6.71	116	106	4.59
03-11-2022	Butter	1.2	8.17	495	90	0.25
03-11-2022	Potatoes	6.71	6.56	265	116	1.08
03-11-2022	Bread	9.28	7.17	145	115	1.77
04-11-2022	Chicken	5.09	7.48	260	162	0.33
04-11-2022	Sugar	1.53	7.58	270	105	3.11
05-11-2022	Fish	4.6	7.68	370	131	3.59
06-11-2022	Tomatoes	6.65	6.85	70	297	1.98
06-11-2022	Butter	6.78	8.17	483	95	2.27
07-11-2022	Wheat	1	8.36	291	282	1.84
07-11-2022	Oranges	8.36	6.83	461	145	3.27
08-11-2022	Rice	4.12	6.61	78	101	1.41
08-11-2022	Chicken	2.92	7.7	389	265	0.89
09-11-2022	Potatoes	9.15	6.54	396	85	1.96
09-11-2022	Oranges	4.9	8.3	281	89	0.8
11-11-2022	Bread	1.03	7.93	117	177	0.41
11-11-2022	Chicken	9.07	7.63	272	137	0.25
12-11-2022	Fish	2.67	7.93	140	60	4.9
13-11-2022	Beef	8.03	7.6	308	136	3.32
13-11-2022	Cheese	3.91	8.02	174	282	1.93
15-11-2022	Sugar	2.3	6.87	228	132	3.69
15-11-2022	Rice	6.28	7.49	161	200	3.33
15-11-2022	Pork	1.45	6.85	161	115	4.5
16-11-2022	Bananas	7.02	8.38	93	199	2.97
16-11-2022	Tea	1.83	8.14	480	91	0.94
17-11-2022	Chicken	7.7	6.84	239	191	0.91
17-11-2022	Fish	4.01	7.87	284	71	0.15
17-11-2022	Apples	8.16	6.51	495	228	2.07
18-11-2022	Cheese	5.21	7.86	115	133	3.78
18-11-2022	Eggs	7.44	7.06	184	194	0.6
18-11-2022	Bananas	6	7.2	378	183	2.3
18-11-2022	Pork	8.76	8.22	389	112	2.5
19-11-2022	Wheat	7.76	8.4	344	266	4.92
19-11-2022	Bread	4.21	6.63	385	88	1.82
19-11-2022	Coffee	9.89	6.72	293	168	4.92
19-11-2022	Fish	8.41	7.58	444	192	4.06
20-11-2022	Fish	5.11	8.1	491	58	1.78
20-11-2022	Coffee	7.82	6.98	275	235	3.22
20-11-2022	Wheat	6.44	6.61	156	111	2.11
21-11-2022	Beef	5.14	8.3	409	197	4.12
22-11-2022	Beef	3.55	7.9	243	84	4.95
23-11-2022	Sugar	7.24	7.86	322	280	1.53
23-11-2022	Bananas	5.95	6.93	273	120	3.76
24-11-2022	Apples	5.58	6.52	282	181	4.54
24-11-2022	Oranges	0.98	6.52	372	266	3.59
24-11-2022	Tea	6.89	7.21	466	146	4.15
24-11-2022	Eggs	9.6	8.09	114	89	1.79
24-11-2022	Beef	1.05	8.39	121	235	2.08
25-11-2022	Oranges	2.52	6.88	376	173	3.89
25-11-2022	Cheese	7.39	7.63	257	90	2
26-11-2022	Oranges	7.93	7.22	328	250	2.47
27-11-2022	Wheat	2.23	6.5	388	240	1.68
27-11-2022	Yogurt	3.62	7.28	335	53	1.78
28-11-2022	Rice	4.15	7.88	449	173	0.69
28-11-2022	Oranges	1.06	8.12	128	261	3.61
28-11-2022	Tomatoes	9.12	7.57	175	147	0.18
28-11-2022	Rice	9.62	7.03	483	88	3.52
28-11-2022	Potatoes	4.23	8.36	354	248	2.56
29-11-2022	Butter	5.69	7.71	447	235	4.83
29-11-2022	Fish	2.04	7.15	342	173	2.47
29-11-2022	Fish	9.15	8.31	374	284	4.52
29-11-2022	Bananas	6.95	8.34	408	141	3.36
30-11-2022	Bread	2.87	8.49	328	253	0.2
30-11-2022	Tea	0.98	7.22	151	120	1.9
30-11-2022	Pork	7.66	7.01	150	133	4.5
01-12-2022	Milk	9.06	7.31	236	221	3.32
01-12-2022	Bread	5.77	7.98	425	70	4.61
01-12-2022	Sugar	5.83	7.71	477	83	3.81
01-12-2022	Milk	5.5	8.11	138	231	2.76
02-12-2022	Rice	1.11	7.48	148	63	3.21
02-12-2022	Sugar	7.83	8.44	153	104	0.82
03-12-2022	Tea	2.72	7.79	233	280	0.5
03-12-2022	Apples	2.46	8.39	248	234	1.7
04-12-2022	Rice	5.26	8.29	251	84	0.92
06-12-2022	Bananas	5.03	6.72	209	135	0.8
07-12-2022	Sugar	2.94	7.9	384	72	4.4
08-12-2022	Potatoes	7.15	7.48	214	54	0.85
08-12-2022	Fish	5.61	7.35	334	165	0.3
09-12-2022	Beef	5.33	7.68	445	74	1.24
09-12-2022	Oranges	7.95	8.39	392	191	0.42
10-12-2022	Potatoes	2.19	8.43	493	152	0.54
10-12-2022	Tomatoes	2.55	8.14	300	50	0.7
10-12-2022	Chicken	6.25	8.09	224	130	0.68
10-12-2022	Bananas	2.35	7.55	350	130	4.43
11-12-2022	Apples	5.84	6.88	156	289	2.75
11-12-2022	Chicken	8.24	7.39	368	59	4.68
11-12-2022	Pork	3.18	6.77	440	100	1.54
12-12-2022	Tea	4.42	8.14	410	250	3.73
12-12-2022	Milk	2.08	7.16	283	86	4.81
13-12-2022	Bread	0.89	7.58	126	133	2.56
13-12-2022	Pork	8.41	7.64	292	178	1.83
14-12-2022	Oranges	6.75	7.55	409	201	1.35
14-12-2022	Oranges	0.68	6.95	268	88	1.37
15-12-2022	Chicken	7.64	7.09	315	140	1.23
15-12-2022	Eggs	2.33	6.56	61	182	2.61
15-12-2022	Potatoes	6.06	6.52	500	257	0.77
16-12-2022	Yogurt	4.64	6.63	163	144	0.49
16-12-2022	Eggs	5.45	8.46	292	149	3.44
16-12-2022	Eggs	2.63	6.91	491	258	3.93
16-12-2022	Milk	1.56	8.39	128	289	3.59
17-12-2022	Oranges	8.52	8.06	452	67	2.75
17-12-2022	Wheat	0.55	7.51	245	127	4.89
17-12-2022	Beef	6.65	7.18	320	249	3.49
17-12-2022	Cheese	7.48	8.4	354	293	3.47
19-12-2022	Wheat	2.34	8.09	400	266	4.85
19-12-2022	Potatoes	8.45	6.82	215	102	0.56
19-12-2022	Yogurt	5.38	8.21	174	227	4.01
20-12-2022	Oranges	1.18	7.44	148	279	4.22
20-12-2022	Bread	9.23	8.31	231	82	2.07
20-12-2022	Eggs	8.09	8.24	85	103	0.13
21-12-2022	Fish	1.03	6.78	406	230	0.8
21-12-2022	Cheese	7.47	8.38	68	266	0.2
21-12-2022	Sugar	3.83	8.11	235	243	0.88
22-12-2022	Beef	4.21	7.19	75	58	4.22
23-12-2022	Fish	2.05	6.65	483	58	1.55
23-12-2022	Tea	3.5	8.13	201	264	1.17
24-12-2022	Coffee	9.97	7.88	300	237	4.87
24-12-2022	Chicken	9.8	8.21	387	86	1.85
24-12-2022	Cheese	3.48	6.63	142	116	3.85
24-12-2022	Potatoes	7.77	7.92	290	240	0.59
24-12-2022	Butter	5.79	8.46	280	132	4.3
25-12-2022	Cheese	4.73	8.44	407	188	0.97
25-12-2022	Chicken	7.7	8.21	107	239	0.37
25-12-2022	Butter	7.27	8.38	243	262	2.96
25-12-2022	Rice	3.38	7.26	340	296	0.88
25-12-2022	Bread	8.65	8.06	418	271	2.67
25-12-2022	Potatoes	0.55	6.68	316	216	4.73
26-12-2022	Bread	1.82	8.29	437	54	4.2
27-12-2022	Beef	7.38	6.59	312	77	4.1
27-12-2022	Oranges	1.03	7.32	380	256	0.79
27-12-2022	Coffee	8.95	7.3	200	51	3.16
27-12-2022	Yogurt	7.38	7.37	486	90	2.49
28-12-2022	Milk	5	6.73	451	151	2.41
28-12-2022	Sugar	3.98	7.68	275	222	4.79
28-12-2022	Wheat	1.76	8.04	187	86	4.7
28-12-2022	Tomatoes	3.09	7.31	59	250	2.13
28-12-2022	Fish	1.94	7.61	212	245	1.18
29-12-2022	Tea	4.4	6.66	357	51	1.3
29-12-2022	Bananas	4.17	8.18	465	228	4.92
29-12-2022	Coffee	5.76	6.7	254	120	3.84
29-12-2022	Bananas	0.56	6.63	452	139	4.72
29-12-2022	Tea	6.39	7.2	236	295	2.05
30-12-2022	Chicken	0.9	6.78	312	204	2.53
31-12-2022	Wheat	8.73	7.67	367	68	2.41
31-12-2022	Fish	7	8.08	300	79	1.69
01-01-2023	Wheat	2.76	6.68	55	108	2.12
01-01-2023	Potatoes	5.96	7.73	100	138	1.5
03-01-2023	Tea	9.93	7	258	203	1.43
03-01-2023	Tomatoes	8.05	7.83	177	69	3.12
03-01-2023	Butter	7.94	7.42	282	94	3.58
03-01-2023	Bread	1.67	6.91	462	283	3.71
04-01-2023	Cheese	4.09	7.25	356	159	4.89
04-01-2023	Tea	7.89	7.28	403	194	3.41
05-01-2023	Rice	2.02	6.94	406	52	4.41
06-01-2023	Cheese	5.28	6.74	296	218	0.74
06-01-2023	Beef	2.34	8.17	394	172	4.59
06-01-2023	Bananas	9.58	7.36	383	269	1.44
07-01-2023	Chicken	8.97	6.89	425	276	3.17
07-01-2023	Eggs	7.82	7.79	246	151	3.56
07-01-2023	Butter	3.12	6.57	121	87	2.66
07-01-2023	Beef	3.62	7.47	195	293	3.26
07-01-2023	Bread	7.23	7.57	103	256	4.15
08-01-2023	Milk	1.49	7.74	93	217	4.66
08-01-2023	Potatoes	3.3	7.25	214	159	3.98
09-01-2023	Yogurt	9.53	8.48	311	121	0.82
09-01-2023	Tea	7.07	8.24	431	204	3.66
09-01-2023	Coffee	7.17	8	175	239	3.34
09-01-2023	Butter	2.36	6.94	116	256	4.72
09-01-2023	Potatoes	5.04	8.44	386	97	2.95
10-01-2023	Eggs	9.17	7.93	102	58	0.46
10-01-2023	Rice	4.9	8.03	315	167	4.21
10-01-2023	Tomatoes	6.64	7.7	304	287	4.57
11-01-2023	Sugar	8.07	7.1	394	190	4.94
11-01-2023	Wheat	8.05	7.89	429	258	2.05
11-01-2023	Rice	3.53	6.52	218	104	2.38
11-01-2023	Cheese	6.68	8.29	294	272	3.56
11-01-2023	Potatoes	8.96	8.36	307	99	2.78
13-01-2023	Oranges	4.7	6.57	140	192	3.33
13-01-2023	Tomatoes	9.27	6.64	479	215	2.47
13-01-2023	Chicken	8.8	8.21	51	294	1.27
13-01-2023	Fish	8.73	6.89	343	289	0.61
14-01-2023	Eggs	5.58	7.78	366	66	3.8
15-01-2023	Beef	8.43	8.46	267	104	2.62
15-01-2023	Potatoes	3.88	7.67	443	178	0.18
15-01-2023	Coffee	8.72	7.48	276	137	2.73
16-01-2023	Tea	8.25	7.11	295	89	1.29
16-01-2023	Rice	1.1	7.54	286	161	1.96
17-01-2023	Bananas	3.73	8.15	362	203	3.78
17-01-2023	Butter	3.32	7.32	377	123	1.17
17-01-2023	Cheese	6.89	8.17	332	87	1.47
18-01-2023	Bread	4.33	8.06	318	275	2.89
18-01-2023	Rice	7.7	7.86	413	141	1.04
18-01-2023	Bread	1.41	7.71	402	122	0.26
19-01-2023	Apples	1.58	6.85	269	145	0.97
19-01-2023	Fish	4.82	8.27	405	192	1.44
20-01-2023	Milk	3.19	8.25	259	115	1.03
20-01-2023	Rice	9.43	8.06	309	122	1.41
21-01-2023	Chicken	6.25	6.85	364	203	0.29
21-01-2023	Potatoes	8.69	6.65	308	234	3.55
22-01-2023	Cheese	8.97	7.73	55	214	4.68
22-01-2023	Apples	4.78	7.98	295	144	2.55
22-01-2023	Yogurt	4.4	6.52	115	201	4.33
22-01-2023	Chicken	9.09	8.16	382	107	3
23-01-2023	Beef	6.42	7.52	135	235	3.46
24-01-2023	Wheat	9.3	7.28	453	299	3.46
24-01-2023	Tea	8.87	6.58	382	132	0.61
24-01-2023	Cheese	7.73	7.95	128	186	4.67
25-01-2023	Rice	8.1	7.64	241	269	0.44
25-01-2023	Beef	9.58	7.97	459	133	3.32
25-01-2023	Oranges	7.43	7.95	77	190	1.02
26-01-2023	Sugar	4.98	7.33	480	135	3.62
26-01-2023	Fish	3.4	8.22	206	154	3.88
26-01-2023	Pork	4.47	7.7	213	247	1.88
26-01-2023	Bananas	2.82	7.77	326	192	4.58
27-01-2023	Butter	4.32	6.95	430	295	0.55
27-01-2023	Yogurt	4.58	6.74	116	185	1.48
27-01-2023	Chicken	4.45	6.6	124	279	3.24
27-01-2023	Tea	3.21	7.57	441	238	3.68
28-01-2023	Tomatoes	7.98	7.1	94	122	3.85
28-01-2023	Tea	6.17	6.64	243	148	0.75
28-01-2023	Pork	1.97	6.88	56	270	2.55
28-01-2023	Fish	7.15	6.61	493	248	0.98
28-01-2023	Apples	5.63	8.16	131	267	4.01
30-01-2023	Yogurt	1.67	6.78	184	279	0.99
30-01-2023	Tomatoes	3.03	8.33	393	71	4.05
31-01-2023	Butter	8.05	7.86	272	233	4.91
31-01-2023	Eggs	6.96	7.77	489	208	1.21
31-01-2023	Pork	2.56	7.6	130	218	1.98
31-01-2023	Sugar	2.09	7.88	245	192	2.63
01-02-2023	Sugar	6.75	7.81	89	114	4.7
01-02-2023	Yogurt	2.05	7.26	162	242	2.17
02-02-2023	Bananas	2.19	7.93	395	186	1.16
02-02-2023	Sugar	6.25	7.4	264	108	2.89
02-02-2023	Eggs	0.85	6.52	350	154	0.69
02-02-2023	Pork	4.53	7.22	217	188	1.9
03-02-2023	Wheat	0.54	7.05	439	248	0.93
03-02-2023	Eggs	6.82	8.35	374	235	2.51
03-02-2023	Sugar	0.62	7.12	131	136	3.19
03-02-2023	Oranges	0.72	7.69	114	55	4.72
04-02-2023	Bananas	5.84	7.67	391	231	2.15
04-02-2023	Butter	8.45	6.73	355	168	1.69
05-02-2023	Apples	8.45	8.2	212	279	3.58
06-02-2023	Yogurt	6.42	8.02	388	242	2.65
07-02-2023	Coffee	9.71	7.75	256	112	0.27
07-02-2023	Bread	2.57	7.62	416	205	4.74
07-02-2023	Tea	6.07	7.24	243	218	2.98
08-02-2023	Milk	3.21	7.27	133	268	2.9
08-02-2023	Chicken	8.91	8.03	356	65	1.6
10-02-2023	Tomatoes	6.09	8.11	98	185	1.81
10-02-2023	Fish	1.3	7.31	479	171	2.66
10-02-2023	Tea	1.02	7.75	340	277	4.43
10-02-2023	Pork	3.44	8.39	420	108	2.65
11-02-2023	Tea	8.38	8.32	410	231	3.27
11-02-2023	Beef	9.62	7.43	171	83	4.55
11-02-2023	Bread	4.72	7.52	171	102	1.7
11-02-2023	Potatoes	9.51	6.85	115	81	3.39
12-02-2023	Bananas	5.81	7.47	207	197	1.79
12-02-2023	Butter	1.43	6.94	146	157	3.51
12-02-2023	Potatoes	5.47	7.32	307	269	2.55
13-02-2023	Oranges	7.67	7.33	451	192	2.46
13-02-2023	Oranges	2.61	7.65	77	184	4.02
13-02-2023	Oranges	5.96	7.53	444	175	2.44
13-02-2023	Tea	9.63	7.74	384	298	0.92
13-02-2023	Potatoes	7.61	8.36	253	228	1.61
13-02-2023	Cheese	1.69	7.51	343	295	3.97
14-02-2023	Sugar	7.58	6.54	256	155	0.28
14-02-2023	Butter	3.6	6.9	396	279	1.7
14-02-2023	Bananas	8.17	8.23	239	194	4.86
14-02-2023	Beef	5.7	7.45	500	288	1.32
14-02-2023	Apples	9.07	7.15	71	176	3.18
15-02-2023	Yogurt	5.06	6.69	155	93	3.23
15-02-2023	Tomatoes	6.16	7.54	204	51	1.57
15-02-2023	Coffee	4.43	7.32	284	293	4.28
15-02-2023	Sugar	1.08	7.35	76	127	0.64
16-02-2023	Potatoes	6.8	8.33	234	271	0.63
18-02-2023	Cheese	4.19	7.52	457	254	3.51
18-02-2023	Bread	1.63	6.58	192	192	1.39
18-02-2023	Fish	9.39	6.94	104	94	1.15
18-02-2023	Milk	7.76	7.84	130	180	4.47
18-02-2023	Eggs	2.16	7.09	440	254	2.31
19-02-2023	Eggs	9.29	7.63	101	251	1.5
19-02-2023	Coffee	8	7.05	91	260	3.92
20-02-2023	Bananas	3.93	8.2	448	259	0.78
21-02-2023	Potatoes	1.14	7.77	162	223	3.54
22-02-2023	Butter	8.46	7.1	94	62	0.63
22-02-2023	Beef	7.79	8.47	255	190	2.1
22-02-2023	Tomatoes	8.38	8.21	192	108	1.03
22-02-2023	Fish	8.68	8.1	146	219	2.43
22-02-2023	Sugar	3.75	7.36	406	200	3.67
23-02-2023	Butter	3.06	8.39	399	288	4.56
23-02-2023	Pork	2.57	8	426	216	0.14
23-02-2023	Sugar	2.87	8.47	350	146	0.39
23-02-2023	Bread	6.23	8.2	235	79	0.57
24-02-2023	Wheat	9.91	8.26	110	148	2.31
24-02-2023	Milk	6.13	8.18	343	82	3.22
24-02-2023	Eggs	1.35	6.53	260	76	2.53
24-02-2023	Yogurt	3.09	7.79	378	172	2.05
24-02-2023	Bread	1.52	7.35	187	294	2.93
24-02-2023	Apples	7.99	6.61	96	129	3.99
24-02-2023	Pork	9.61	8.32	61	221	0.51
25-02-2023	Sugar	1.98	6.76	491	205	4.19
25-02-2023	Potatoes	9.12	7.94	263	59	3.88
25-02-2023	Chicken	7.11	6.71	240	233	1.05
26-02-2023	Coffee	4.4	8.22	82	212	1.1
26-02-2023	Rice	8.67	7.13	181	73	0.66
26-02-2023	Coffee	0.69	7.99	327	204	4.6
26-02-2023	Milk	7.44	8.26	341	241	2.37
27-02-2023	Fish	7.27	7.78	191	265	1.86
27-02-2023	Tomatoes	6.66	7.56	187	155	1.02
27-02-2023	Coffee	4.22	8.48	116	187	2.15
27-02-2023	Tea	8.78	7.55	392	278	1.37
27-02-2023	Milk	1.6	7.27	103	83	4.58
28-02-2023	Chicken	6.58	7.55	260	111	4.7
28-02-2023	Cheese	9.48	7.95	367	255	4.85
01-03-2023	Potatoes	9.87	8.46	440	274	2.27
02-03-2023	Bread	8.29	7.7	221	93	4.8
02-03-2023	Chicken	3.26	7.87	461	207	4.76
02-03-2023	Wheat	8.26	7.84	346	115	2.03
02-03-2023	Beef	0.76	6.7	371	196	0.2
02-03-2023	Bread	5.98	8.16	145	147	0.17
03-03-2023	Oranges	2.2	7.69	353	211	4.2
03-03-2023	Milk	5.56	7.05	367	229	3.61
04-03-2023	Coffee	1.92	6.86	430	85	3.77
04-03-2023	Bananas	8.13	8.21	451	158	2.1
04-03-2023	Milk	4.4	8.18	388	220	3.33
04-03-2023	Oranges	2.61	6.87	289	278	1.55
05-03-2023	Potatoes	2.11	7.08	181	156	0.89
06-03-2023	Yogurt	8.95	6.81	101	134	1.11
06-03-2023	Sugar	3.55	7.16	192	62	2.58
06-03-2023	Oranges	2.35	6.66	342	256	0.22
06-03-2023	Yogurt	6.69	8.36	224	164	3.95
06-03-2023	Fish	6.56	7.47	386	294	0.98
06-03-2023	Bread	8.22	7.96	282	161	0.34
06-03-2023	Cheese	3.31	7.62	141	151	3.13
06-03-2023	Bread	9.03	7.24	328	77	2.15
06-03-2023	Milk	7.86	8.35	79	161	2.09
06-03-2023	Wheat	8.35	6.92	323	275	1.87
07-03-2023	Wheat	5.69	8.28	348	170	4.69
08-03-2023	Potatoes	5.86	6.8	406	220	0.57
08-03-2023	Coffee	7.03	6.56	187	179	1.15
09-03-2023	Apples	4.38	6.71	268	216	2.97
09-03-2023	Rice	7.33	7.37	282	261	3.4
09-03-2023	Eggs	0.99	6.98	355	200	1.26
09-03-2023	Wheat	7.49	6.89	459	179	1.48
10-03-2023	Apples	4.81	6.56	293	78	1.82
10-03-2023	Butter	1.47	8.07	489	87	1.95
10-03-2023	Chicken	9.92	6.5	140	58	0.75
11-03-2023	Rice	6.46	7.53	145	197	2.55
11-03-2023	Potatoes	3.51	7.19	90	192	3.9
11-03-2023	Beef	3.13	7.84	359	152	4.56
12-03-2023	Wheat	7.38	8.36	255	207	3.32
12-03-2023	Apples	9.96	7.02	466	117	0.97
12-03-2023	Bread	4.83	7.92	318	116	1.59
12-03-2023	Fish	1.5	8.26	422	278	1.98
12-03-2023	Beef	0.99	6.98	206	117	2.3
13-03-2023	Potatoes	7.8	7.14	113	96	2.92
13-03-2023	Cheese	1.15	7.93	437	229	4.3
13-03-2023	Bread	8.38	7.03	167	134	4.25
14-03-2023	Pork	0.53	6.63	335	206	1.12
14-03-2023	Fish	8.05	8.19	391	133	1.13
14-03-2023	Bread	1.43	8.1	279	267	1.65
16-03-2023	Pork	5.99	8.18	77	214	1.4
16-03-2023	Eggs	2.85	6.71	62	263	2.58
16-03-2023	Tomatoes	5.38	6.63	267	138	4.95
17-03-2023	Beef	2.21	6.52	141	218	2.88
17-03-2023	Yogurt	1.78	7.7	142	64	4.24
18-03-2023	Milk	7.37	6.73	448	199	4.7
18-03-2023	Yogurt	3.1	8.43	198	61	4.78
18-03-2023	Wheat	1.55	8.39	88	117	1.71
18-03-2023	Milk	5.89	8.27	173	280	1.49
18-03-2023	Bananas	0.64	7.17	279	289	0.61
18-03-2023	Beef	2.64	8	53	96	1.03
19-03-2023	Oranges	3	7.68	243	207	3.41
19-03-2023	Beef	3.52	8	142	138	4.05
19-03-2023	Eggs	7.26	7.41	288	234	4.41
20-03-2023	Cheese	6.61	7.31	170	70	2.35
20-03-2023	Potatoes	4.01	6.91	412	58	3.36
20-03-2023	Yogurt	4.62	7.36	423	287	3.7
20-03-2023	Oranges	9.99	7.06	485	155	4.91
20-03-2023	Tea	7.91	7.19	171	172	4.33
21-03-2023	Wheat	9.26	7.53	373	97	2.43
21-03-2023	Eggs	9.86	7.82	305	57	2.02
21-03-2023	Beef	2.1	6.55	417	208	1.92
22-03-2023	Wheat	5.39	8.32	236	277	0.35
22-03-2023	Pork	3.69	7.94	62	273	2.26
22-03-2023	Pork	7.12	7.05	453	195	2.14
23-03-2023	Yogurt	2.83	7.09	260	275	2.8
23-03-2023	Beef	8.24	7.66	393	113	0.75
23-03-2023	Potatoes	5.15	6.91	333	168	1.79
24-03-2023	Chicken	7.2	6.85	485	83	0.51
25-03-2023	Chicken	1.65	7.48	271	238	4.05
25-03-2023	Sugar	0.93	7.13	208	52	4.9
27-03-2023	Sugar	6.81	6.6	72	200	1.84
28-03-2023	Beef	2.29	7.74	143	187	1.17
28-03-2023	Potatoes	4.66	7	271	168	0.88
29-03-2023	Apples	2.88	7.99	443	224	4.24
29-03-2023	Fish	5.5	8.32	500	175	2.36
29-03-2023	Coffee	2.8	8.45	148	207	3.26
29-03-2023	Potatoes	5.74	6.68	147	237	4.17
30-03-2023	Oranges	7.14	8.16	421	192	4.99
30-03-2023	Chicken	2.93	8.07	390	85	4.61
31-03-2023	Apples	4.03	7.67	287	267	0.68
31-03-2023	Potatoes	2.05	7.43	109	279	4.64
31-03-2023	Butter	8.72	7.6	361	75	4.49
31-03-2023	Beef	5.32	6.66	151	117	0.81
31-03-2023	Fish	2.72	6.85	215	161	1
31-03-2023	Chicken	7.34	8.42	194	292	2.36
01-04-2023	Chicken	8.78	8.45	253	225	1.14
01-04-2023	Coffee	7.49	6.98	67	285	4.08
01-04-2023	Tomatoes	4.98	8.32	101	160	1.01
01-04-2023	Coffee	1.91	7.07	111	194	2.01
01-04-2023	Eggs	6.49	6.53	161	236	3.57
03-04-2023	Butter	1.49	7.49	219	240	0.48
03-04-2023	Oranges	3.44	6.99	195	163	3.17
03-04-2023	Fish	9.11	8.25	111	56	0.89
04-04-2023	Potatoes	2.36	6.67	484	164	3.42
04-04-2023	Beef	3.24	6.88	226	162	1.24
04-04-2023	Cheese	5.74	8.26	256	172	3
04-04-2023	Tomatoes	1.84	7.06	268	246	0.17
